max_tension_1,mean_tension_1,max_tension_2,mean_tension_2,max_tension_3,mean_tension_3,max_offset,mean_offset
-19328.076,-1191.7915,-92478.62,-898.6298,-92478.59,-898.6367,-65.831345,-144.45265
-19085.295,-1171.1057,-91343.516,-880.8151,-91343.5,-880.82196,-64.46052,-142.78403
-19120.555,-1174.11,-91508.37,-883.4024,-91508.35,-883.40924,-63.32284,-143.1598
-19014.896,-1165.1075,-91014.375,-875.6495,-91014.36,-875.65625,-62.215973,-142.48438
56165.76,5240.582,260485.92,4640.941,260485.86,4640.96,2283.8115,201.99724
-19356.414,-1194.206,-92611.1,-900.70917,-92611.086,-900.71606,-69.37479,-144.3087
-19291.727,-1188.6945,-92308.664,-895.9626,-92308.65,-895.9695,-68.21262,-143.94394
81748.4,7420.3247,380095.22,6518.1387,380095.12,6518.1665,3351.0603,293.18747
-19197.805,-1180.692,-91869.55,-889.07086,-91869.52,-889.0777,-66.593346,-143.40755
19205.445,2091.417,87681.35,1928.8749,87681.33,1928.8812,1049.2534,37.34441
64707.035,5968.3325,300419.88,5267.6807,300419.8,5267.7026,2779.9666,217.44911
32497.232,3223.9297,149825.86,2904.1965,149825.83,2904.2075,1479.7916,98.0194
-13679.722,-710.5294,-66070.25,-484.16608,-66070.234,-484.171,37.85421,-112.91942
-16339.765,-937.17566,-78507.04,-679.3542,-78507.02,-679.36005,-11.836596,-127.674706
2688.2607,684.0874,10456.753,716.88025,10456.751,716.881,533.0067,-39.781036
-18980.889,-1162.21,-90855.375,-873.15405,-90855.35,-873.1608,-62.487297,-142.20488
-18943.074,-1158.9879,-90678.57,-870.3793,-90678.555,-870.386,-61.35377,-142.03676
-19259.08,-1185.913,-92156.03,-893.56714,-92156.016,-893.574,-65.16587,-144.00551
17323.604,1931.0767,78882.96,1790.7893,78882.945,1790.7952,1055.4982,21.563492
-8948.002,-307.3682,-43947.53,-136.96298,-43947.52,-136.96626,164.90413,-91.13729
-19070.152,-1169.8156,-91272.72,-879.70404,-91272.695,-879.7108,-64.01087,-142.71622
