max_tension_1,mean_tension_1,max_tension_2,mean_tension_2,max_tension_3,mean_tension_3,max_offset,mean_offset
-11035.85,-485.26108,-53709.066,-290.1646,-53709.055,-290.1686,-341.71964,-49.057358
-11133.693,-493.5978,-54166.53,-297.3442,-54166.516,-297.34827,-344.87564,-49.44435
-10922.7705,-475.62634,-53180.38,-281.86716,-53180.367,-281.87112,-338.82294,-48.496334
-10875.64,-471.6106,-52960.023,-278.40878,-52960.008,-278.41275,-337.6799,-48.25243
69611.2,6386.187,323348.88,5627.5376,323348.78,5627.5615,1967.6333,350.3598
-11493.78,-524.2786,-55850.082,-323.7666,-55850.07,-323.77075,-354.673,-51.20911
-11404.615,-516.6814,-55433.195,-317.22382,-55433.184,-317.22794,-352.28827,-50.769447
122753.234,10914.099,571809.56,9526.982,571809.44,9527.025,3608.291,599.3857
-11288.251,-506.76672,-54889.15,-308.6853,-54889.137,-308.6894,-349.15546,-50.19693
30858.65,3084.3162,142164.83,2783.9612,142164.8,2783.9717,849.0934,158.48521
113751.93,10147.151,529724.8,8866.486,529724.7,8866.526,3358.1992,553.1654
45285.188,4313.514,209614.8,3842.5483,209614.75,3842.5637,1267.9901,229.73506
-2292.3853,259.71667,-12829.803,351.41144,-12829.8,351.41046,-101.940926,-5.780982
-6867.684,-130.11687,-34221.19,15.686154,-34221.184,15.683584,-226.97986,-28.942299
17156.396,1916.83,78101.2,1778.52,78101.19,1778.5258,451.03537,91.02325
-10965.894,-479.3006,-53381.996,-285.0314,-53381.984,-285.0354,-340.30304,-48.650063
-10832.586,-467.9423,-52758.73,-275.24963,-52758.72,-275.25357,-336.61435,-48.033478
-11032.379,-484.9654,-53692.84,-289.90994,-53692.83,-289.91394,-341.646,-49.037216
53433.31,5007.766,247710.6,4440.4395,247710.53,4440.4575,1539.0176,264.8473
4629.349,849.4759,19532.135,859.31305,19532.13,859.31445,93.64096,28.752747
-11089.096,-489.79788,-53958.016,-294.0717,-53958.0,-294.0757,-343.60358,-49.23796
