max_tension_1,mean_tension_1,max_tension_2,mean_tension_2,max_tension_3,mean_tension_3,max_offset,mean_offset
301802.84,26169.834,1408939.6,22665.246,1408939.2,22665.35,9885.749,1335.6063
303257.16,26293.748,1415739.2,22771.96,1415738.9,22772.066,9933.14,1342.091
302285.06,26210.92,1411194.2,22700.63,1411193.9,22700.734,9901.485,1337.7543
302715.9,26247.63,1413208.6,22732.244,1413208.2,22732.348,9915.553,1339.6722
429452.03,37046.047,2005751.8,32031.863,2005751.2,32032.01,14068.382,1902.3109
303150.62,26284.67,1415241.1,22764.143,1415240.8,22764.248,9929.587,1341.6241
303232.3,26291.63,1415623.0,22770.137,1415622.6,22770.242,9932.274,1341.9856
546218.6,46995.027,2551683.5,40599.938,2551682.8,40600.125,17898.143,2420.2583
303329.72,26299.93,1416078.4,22777.285,1416078.1,22777.389,9935.475,1342.4171
351978.9,30445.031,1643533.2,26347.057,1643532.9,26347.178,11527.379,1558.6581
499523.53,43016.418,2333364.8,37173.555,2333364.0,37173.727,16366.468,2213.1475
371173.5,32080.486,1733275.9,27755.514,1733275.4,27755.64,12156.839,1643.8137
315781.84,27360.9,1474297.1,23690.994,1474296.9,23691.104,10342.274,1397.8381
304668.47,26413.998,1422337.8,22875.521,1422337.4,22875.625,9979.395,1348.3602
337761.22,29233.63,1577059.8,25303.793,1577059.4,25303.908,11061.397,1495.5485
303247.9,26292.959,1415695.9,22771.281,1415695.6,22771.387,9932.873,1342.0459
303054.56,26276.486,1414792.0,22757.096,1414791.6,22757.2,9926.612,1341.1797
301817.38,26171.074,1409007.6,22666.314,1409007.4,22666.418,9886.199,1335.6743
362511.88,31342.482,1692779.2,27119.943,1692778.9,27120.068,11872.843,1605.3776
325694.1,28205.463,1520641.0,24418.334,1520640.6,24418.445,10666.204,1441.9464
303121.72,26282.209,1415106.0,22762.023,1415105.6,22762.127,9928.731,1341.4865
