max_tension_1,mean_tension_1,max_tension_2,mean_tension_2,max_tension_3,mean_tension_3,max_offset,mean_offset
-15495.134,-865.20984,-74558.05,-617.3771,-74558.03,-617.3826,-422.47723,-2.6516004
-16605.096,-959.7829,-79747.57,-698.8236,-79747.555,-698.8295,-470.84366,-5.355317
-15575.834,-872.0858,-74935.35,-623.29865,-74935.336,-623.30426,-427.73828,-2.8168218
-15703.208,-882.93854,-75530.875,-632.645,-75530.86,-632.6507,-434.60574,-3.1007926
3659.1492,766.811,14996.054,788.1219,14996.05,788.123,147.61514,20.19719
-17449.943,-1031.7673,-83697.58,-760.81665,-83697.56,-760.8229,-501.33994,-7.470558
-17255.104,-1015.166,-82786.62,-746.51965,-82786.6,-746.5258,-494.6542,-6.9786253
31733.088,3158.8218,146253.19,2848.1255,146253.16,2848.1362,1370.0685,75.968895
-17018.793,-995.0316,-81681.78,-729.1799,-81681.76,-729.1859,-486.5812,-6.3848085
-4350.937,84.31993,-22454.373,200.35947,-22454.367,200.35777,-209.15114,15.541482
34329.367,3380.035,158391.84,3038.6345,158391.8,3038.6462,1429.68,91.64166
-1435.2885,332.74472,-8822.524,414.30328,-8822.522,414.3026,-80.434875,17.526176
-12539.58,-613.3849,-60739.62,-400.505,-60739.61,-400.50955,-420.1099,5.757017
-11416.43,-517.68805,-55488.438,-318.09076,-55488.42,-318.0949,-297.72498,8.173943
-6311.555,-82.7325,-31621.064,56.493652,-31621.057,56.491276,-290.57318,16.057539
-16216.102,-926.63904,-77928.86,-670.28,-77928.84,-670.2858,-456.44632,-4.370026
-15770.526,-888.6743,-75845.62,-637.5847,-75845.6,-637.5904,-438.8516,-3.2512712
-15603.116,-874.41034,-75062.91,-625.30054,-75062.89,-625.30615,-426.25067,-2.939932
9611.991,1274.0167,42828.023,1224.9283,42828.016,1224.9315,361.09842,50.22986
-8548.093,-273.29437,-42077.793,-107.61855,-42077.78,-107.6217,-342.62982,14.815115
-16441.041,-945.8048,-78980.55,-686.78564,-78980.53,-686.7915,-463.8418,-4.9594154
